N°,PLACA INTERNA,PLACA RODAJE,UNIDAD,SUB UNIDAD,TIPO DE VEHICULO,AÑO,MARCA,MODELO,Nº DE  MOTOR,Nº DE SERIE,TIPO DE COMBUSTIBLE,PROCEDENCIA,ESTADO DEL VEHICULO,ESTADO DEL ODOMETRO,FUNCION POLICIAL
105,PG-27552,EP-7894,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034273,9C6DG2942R0000120,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
106,PG-27553,EP-7895,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034301,9C6DG2949R0000146,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
107,PG-27554,EP-7896,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034293,9C6DG294XR0000138,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
108,PG-27555,EP-7897,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034255,9C6DG2943R0000109,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
109,PG-27556,EP-7898,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2F034260,9C6DG2941R0000108,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
110,PG-27557,EP-7899,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034264,9C6DG2947R0000114,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
111,PG-27558,EP-7900,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034307,9C6DG2945R0000144,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
112,PG-27559,EP-7901,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034285,9C6DG2946R0000136,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
113,PG-27560,EP-7902,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034256,9C6DG2943R0000112,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
114,PG-27561,EP-7903,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034306,9C6DG2940R0000150,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
115,PG-27562,EP-7905,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034287,9C6DG2949R0000132,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
116,PG-27563,EP-7904,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034280,9C6DG2945R0000127,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
117,PG-27564,EP-7906,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034290,9C6DG2941R0000139,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
118,PG-27565,EP-7907,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034258,9C6DG294XR0000107,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
119,PG-27566,EP-7908,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034261,9C6DG2946R0000119,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
120,PG-27567,EP-7909,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034288,9C6DG2942R0000134,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
121,PG-27568,EP-7910,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034257,9C6DG2946R0000105,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
122,PG-27569,EP-7911,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034259,9C6DG2949R0000115,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
123,PG-27570,EP-7912,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034303,9C6DG2942R0000148,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
124,PG-27571,EP-7913,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034262,9C6DG2941R0000111,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
125,PL-17042,EP-3992,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337391,8CHMC3500EP006935,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
126,PL-17249,EP-3777,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337797,8CHMC3500FP000211,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
127,PG-24784,EPG-255,REGPOL-LL,CPNP LA FAMILIA,CAMIONETA  PICK UP,2016,MAZDA,BT50  4X4,P5AT2336171,MM7UR4DF3HW652041,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
128,PG-27182,EPG-827,REGPOL-LL,CPNP LA NORIA,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P63020211,LZWADAGA4PB0713,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
129,KG-27586,EPH-054,REGPOL-LL,CPNP LA NORIA,CAMIONETA  PICK UP,2021,NISSAN ,FRONTIER,YD25724649F,3N6CD3389MK806463,DIESEL,PIP,OPERATIVO,OPERAT.,PATRULLAJE
130,KG-27587,EP-7948,REGPOL-LL,CPNP LA NORIA,MOTOCICLETA,2020,YAMAHA,XTZ-250ABS,G3F2E023182,9C6DG2928L0000791,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
131,KG-27588,EP-7949,REGPOL-LL,CPNP LA NORIA,MOTOCICLETA,2020,YAMAHA,XTZ-250ABS,G3F2E023796,9C6DG2926L0001048,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
132,PG-26784,EP-7807,REGPOL-LL,CPNP LA NORIA,MOTOCICLETA,2024,YAMAHA ,FZ25-ABS,G3H7E0160622,ME1RG4284P2003416,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
133,PG-27178,EPG-770,REGPOL-LL,CPNP AYACUCHO,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P63020212,LZWDAGA5PB071347,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
134,IG-25477,EP-6978,REGPOL-LL,CPNP AYACUCHO,MOTOCICLETA,2014,BAJAJ,PULSAR,JLZCEH26536,MD2A36FZ2FCH00188,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
135,PG-25417,EP-6993,REGPOL-LL,CPNP AYACUCHO,MOTOCICLETA,2016,HONDA,CB 250 TWISTER,MC48E0H00028,9C2MC4800HR000076,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
136,PG-26782,EP-7799,REGPOL-LL,CPNP EL ALAMBRE,MOTOCICLETA,2024,YAMAHA,FZ25-ABS,G3H7E0160619,ME1RG4283P2003407,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
137,PG-27180,EPG-734,REGPOL-LL,CPNP EL ALAMBRE,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P40920164,LZWADAGA9PB070041,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
138,PG-25410,EPF-777,REGPOL-LL,CPNP EL ALAMBRE,CAMIONETA  PICK UP,2020,NISSAN,NP300 FRONTIER,YD25698778P,EN6CD33BXLK800556,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
139,PG-20014,EGM-308,REGPOL-LL,CPNP BUENOS AIRES,CAMIONETA  PICK UP,2013,TOYOTA ,HILUX 4x4,1KDU360941,MROFZ22G2D1196952,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
140,PG-27179,EPG-776,REGPOL-LL,CPNP BUENOS AIRES,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P40920329,LZWADAGA0PB070042,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
141,PL-12982,EP-1075,REGPOL-LL,CPNP BUENOS AIRES,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,MD34ED510434,9C2MD3400DR510434,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
142,PL-18128,EP-4437,REGPOL-LL,CPNP BUENOS AIRES,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE338928,8CHMC3500FP001615,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
143,PG-26787,EP-7765,REGPOL-LL,CRPNP HUANCHACO,MOTOCICLETA,2024,YAMAHA,FZ25-ABS,G3H7E0161975,ME1RG4286P2004227,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
144,PG-27186,EPG-731,REGPOL-LL,CRPNP HUANCHACO,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P51020103,LZWADAGAXPB070453,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
145,KG-24572,EPG-259,REGPOL-LL,CRPNP HUANCHACO,CAMIONETA  PICK UP,2016,TOYOTA ,HILUX 4x4,1GD0114609,MR0KA8CD7G1421349,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
146,KG-24573,EPG-260,REGPOL-LL,CRPNP HUANCHACO,CAMIONETA  PICK UP,2016,TOYOTA ,HILUX 4x4,1GD0116211,MR0KA8CD7G1421352,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
147,PG-27189,EPG-733,REGPOL-LL,CSPNP  MOCHE,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P63020033,LZWADAGA2PB071371,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
148,PL-23932,EP-5941,REGPOL-LL,CSPNP  MOCHE,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730351,9C2ND1210JR730349,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
149,PG-27187,EPG-751,REGPOL-LL,CPNP MIRAMAR,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P51020102,LZWADAGA8PB070449,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
150,PL-21108,EPD-892,REGPOL-LL,CPNP MIRAMAR,CAMIONETA  SUV,2016,SSANG YONG,REXTON,1.62995E+13,KPTG0B19SGP361874,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
151,PG-25418,EP-6992,REGPOL-LL,CPNP SALAVERRY,MOTOCICLETA,2016,HONDA,CB 250 TWISTER,MC48E0H000036,9C2MC4800HR000012,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
152,PG-25409,EPG-283,REGPOL-LL,CPNP SALAVERRY,CAMIONETA  PICK UP,2017,MAZDA,BT50  4X4,P5AT2512525,MM7UR4DF8JW770785,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
153,PG-25416,EP-6994,REGPOL-LL,CPNP SALAVERRY,MOTOCICLETA,2016,HONDA,CB 250 TWISTER,MC48E0H000021,9C2MC4800HR000081,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
154,PG-25408,EPG-284,REGPOL-LL,CPNP SALAVERRY,CAMIONETA  PICK UP,2017,MAZDA,BT50  4X4,P5AT2502376,MM7UR4DF2JW764786,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
155,PG-27181,EPG-749,REGPOL-LL,CPNP JERUSALEN/W,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P51620175,LZWADAGA4PB070464,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
156,PG-26783,EP-7778,REGPOL-LL,CPNP JERUSALEN/W,MOTOCICLETA,2024,YAMAHA,FZ25-ABS,G3H7E0160618,ME1RG428XP2003405,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
157,TMP-2854,EAG-846,REGPOL-LL,CPNP JERUSALEN/W,CAMIONETA  PICK UP,2021,MITSUBISHI,L200,4N15UHX0875,MMBJJKL10NH053226,DIESEL,MDLE,OPERATIVO,OPERAT.,PATRULLAJE
158,TMP-2853,EAG-845,REGPOL-LL,CPNP BELLAVISTA,CAMIONETA  PICK UP,2021,MITSUBISHI,L200,4N15UHX1150,MMBJJKL10NH053337,DIESEL,MDLE,OPERATIVO,OPERAT.,PATRULLAJE
159,PL-20353,EPD-056,REGPOL-LL,CRPNP EL MILAGRO,CAMIONETA  SUV,2016,SSANG YONG,REXTON,1.63E+13,KPTG0B19SGP359773,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
160,KG-24567,EPG-261,REGPOL-LL,CRPNP EL MILAGRO,CAMIONETA  PICK UP,2016,TOYOTA ,HILUX 4x4,1GD0116187,MR0KA8CD5G1421351,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
161,KG-24568,EPG-262,REGPOL-LL,CRPNP EL MILAGRO,CAMIONETA  PICK UP,2016,TOYOTA ,HILUX 4x4,IGD0115529,MR0KA8CD6G1421343,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
162,KG-24571,EP-6974,REGPOL-LL,CRPNP EL MILAGRO,MOTOCICLETA,2016,SSENDA,SS250GY-4,LXYJCNL09G0289019,167FMMGG050754,GASOLINA,MPT,OPERATIVO,OPERAT.,PATRULLAJE
163,PG-26786,EP-7793,REGPOL-LL,CPNP FLORENCIA DE MORA,MOTOCICLETA,2024,YAMAHA ,FZ25-ABS,G3H7E0161972,ME1RG4280P2004224,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
164,PG-27185,EPG-785,REGPOL-LL,CPNP FLORENCIA DE MORA,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P51620086,LZWADAGA8PB070466,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
165,KG-24569,EPG-279,REGPOL-LL,CPNP FLORENCIA DE MORA,CAMIONETA  PICK UP,2016,TOYOTA ,HILUX 4x4,IGD0115794,MR0KA8CD8G1421344,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
166,PG-27183,EPG-779,REGPOL-LL,CPNP NICOLAS ALCAZAR,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P51620102,LZWADAGAXPB074867,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
167,KG-25541,EP-6991,REGPOL-LL,CPNP NICOLAS ALCAZAR,MOTOCICLETA,2018,HONDA,CB250 TWISTER,MC48E0J000370,9C2MC4800JR000368,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
168,KG-25533,EPG-268,REGPOL-LL,CSPNP SANCHEZ CARRION,CAMIONETA  PICK UP,2019,MAZDA,BT50  4X4,P5AT2720860,MM7URDFXKW916671,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
169,PG-27191,EPG-738,REGPOL-LL,CSPNP SANCHEZ CARRION,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518P63020110,LZWADAGA3PB071220,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
170,KG-25534,EPG-269,REGPOL-LL,CSPNP SANCHEZ CARRION,CAMIONETA  PICK UP,2019,MAZDA,BT50  4X4,P5AT2720192,MM7UR4DF8KW916670,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
171,KG-25535,EP-6986,REGPOL-LL,CSPNP SANCHEZ CARRION,MOTOCICLETA,2018,HONDA,CB250 TWISTER,MC48E0J000365,9C2MC4800JR000361,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
172,KG-25537,EP-6985,REGPOL-LL,CSPNP SANCHEZ CARRION,MOTOCICLETA,2018,HONDA,CB250 TWISTER,MC48E0J000331,9C2MC4800JR000345,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
173,KG-25538,EP-6984,REGPOL-LL,CSPNP SANCHEZ CARRION,MOTOCICLETA,2018,HONDA,CB250 TWISTER,MC48E0J000366,9C2MC4800JR000366,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
174,PG-26785,EP-7772,REGPOL-LL,CPNP ALTO TRUJILLO,MOTOCICLETA,2024,YAMAHA,FZ25-ABS,G3H7E0160586,ME1RG428XP2003422,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
175,PG-27184,EPG-845,REGPOL-LL,CPNP ALTO TRUJILLO,CAMIONETA  SUV,2024,CHEVROLET,CAPTIVA,LL518PS1620189,LZWADAGA0PB070462,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
176,GK-26823,EPG-481,REGPOL-LL,CSPNP  LAREDO,CAMIONETA  PICK UP,2024,TOYOTA,HI LUX 4X2,2GDG377729,8AJCB3DDGR3914835,DISEL,REPOSICION DE SEGURO TODO RIESGO,OPERATIVO,OPERAT.,PATRULLAJE
177,PG-27188,EPG-794,REGPOL-LL,CSPNP  LAREDO,CAMIONETA  PICK UP,2024,CHEVROLET,CAPTIVA,LL518P63020121,LZWADAGA7PB071219,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
178,PL-12494,EP-0865,REGPOL-LL,CSPNP  LAREDO,MOTOCICLETA,2012,HONDA,CBX-250 TWISTER,MC35ED350058,9C2MC3505DR350058,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
179,PL-23812,EP-6438,REGPOL-LL,CSPNP  LAREDO,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730330,9C2ND1210JR730328,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
180,KG-24563,EPG-270,REGPOL-LL,CRPNP SIMBAL,CAMIONETA  PICK UP,2014,TOYOTA ,HILUX 4x4,1KDU626915,MR0FZ22G6F1087283,DIESEL,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
181,PL-24100,EP-5996,REGPOL-LL,CRPNP POROTO,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730302,9C2ND1210JR730290,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
182,PG-27190,EPG807,REGPOL-LL,CRPNP POROTO,CAMIONETA  PICK UP,2024,CHEVROLET,CAPTIVA,LL518P40920270,LZWADAGA8PB069995,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
183,PG-27761,EPH-192,REGPOL-LL,CRPNP CHAO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G490038,8AJKA3CD6S3128801,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
184,PG-27819,EPH-212,REGPOL-LL,CRPNP CHAO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497793,8AJKA3CD2S3129847,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
185,PL-15907,EPC-477,REGPOL-LL,CRPNP CHAO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24731451A,3N6DD23T8EK086551,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
186,PL-16030,EPC-485,REGPOL-LL,CPNP GUADALUPITO ,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24730823A,3N6DD23T1EK086049,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
187,PG-27760,EPH-202,REGPOL-LL,DIVINCRI DEPINCRI VIRU,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G491975,8AJKA3CDXS3129076,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
188,PL-15887,EPC-376,REGPOL-LL,DIVINCRI DEPINCRI VIRU,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733329A,3N6DD23T5EK088161,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
189,PL-15899,EPC-416,REGPOL-LL,CPNP VICTOR RAUL HALLA DE LA T ,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24729842A,3N6DD23T9EK085179,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
190,PL-15924,EPC-475,REGPOL-LL,CPNP VICTOR RAUL HALLA DE LA T ,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24731105A,3N6DD23T9EK086252,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
191,PG-27762,EPH-179,REGPOL-LL,CRS PNP VIRU,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G494307,8AJKA3CDXS3129384,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
192,PG-27763,EPH-195,REGPOL-LL,CRS PNP VIRU,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492615,8AJKA3CD2S3129167,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
193,KG-27589,EP-7942,REGPOL-LL,CRS PNP VIRU,MOTOCICLETA,2023,HONDA,XR 190 CT,MD43E3017242,LALMD4395P3260896,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
194,KG-27590,EP-7939,REGPOL-LL,CRS PNP VIRU,MOTOCICLETA,2023,HONDA,XR 190 CT,MD43E3016300,LALMD4395P3260283,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
195,KG-27591,EP-7941,REGPOL-LL,CRS PNP VIRU,MOTOCICLETA,2023,HONDA,XR 190 CT,MD43E3017281,LALMD4394P3260923,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
196,KG-27592,EP-7940,REGPOL-LL,CRS PNP VIRU,MOTOCICLETA,2023,HONDA,XR 190 CT,MD43E30163220,LALMD4393P3260234,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
197,KG-24316,EPF-742,REGPOL-LL,CRS PNP PAIJAN,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110672,VW1ZZZ2HZJA033094,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
198,KG-24318,EPF-744,REGPOL-LL,CRS PNP PAIJAN,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110729,VW1ZZZ2HZJA033208,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
199,KG-24305,EPF-731,REGPOL-LL,DPTO.EMERGENCIA PAIJAN,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110439,VW1ZZZ2HZJA030072,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
200,KG-24313,EPF-739,REGPOL-LL,DPTO.EMERGENCIA PAIJAN,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110627,VW1ZZZ2HZJA032982,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
201,KG-24306,EPF-732,REGPOL-LL,DPTO.EMERGENCIA PAIJAN,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110484,VW1ZZZ2HZJA030645,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
202,PL-24101,EP-6451,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730145,9C2ND1210JR730141,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
203,KG-24336,EP-6613,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009779,JYADG24E0HA007351,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
204,KG-24340,EP-6607,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009792,JYADG24E0HA007364,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
205,KG-24342,EP-6610,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009774,JYADG24E0HA007345,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
206,KG-24343,EP-6616,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009775,JYADG24E0HA007346,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
207,KG-24335,EP-6612,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009785,JYADG24E0HA007357,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
208,KG-24341,EP-6611,REGPOL-LL,DPTO.TRANSITO-PAIJAN,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009812,JYADG24E0HA007368,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
209,KG-24479,EPF-774,REGPOL-LL,DIVINCRI DEPINCRI-PAIJAN,AUTOMOVIL,2017,VOLKSWAGEN,JETTA       TRENDLINE 2.0,CBP762959,3VW151AJ6HM363508,GASOLINA,MININTER,OPERATIVO,OPERAT.,OPERATIVO
